Wavelength (nm),Power (mW)
1260,3.51E-09
1261,3.37E-09
1262,2.63E-09
1263,2.82E-09
1264,2.57E-09
1265,2.75E-09
1266,2.74E-09
1267,2.64E-09
1268,2.84E-09
1269,2.90E-09
1270,2.75E-09
1271,2.69E-09
1272,2.78E-09
1273,2.78E-09
1274,3.04E-09
1275,2.78E-09
1276,2.81E-09
1277,2.74E-09
1278,2.97E-09
1279,2.82E-09
1280,3.05E-09
1281,3.05E-09
1282,3.06E-09
1283,3.59E-09
1284,3.21E-09
1285,3.89E-09
1286,4.03E-09
1287,4.32E-09
1288,4.26E-09
1289,4.57E-09
1290,4.75E-09
1291,4.79E-09
1292,5.06E-09
1293,5.51E-09
1294,6.22E-09
1295,7.52E-09
1296,8.42E-09
1297,9.70E-09
1298,1.09E-08
1299,1.35E-08
1300,1.53E-08
1301,1.63E-08
1302,1.28E-08
1303,1.38E-08
1304,7.29E-09
1305,4.32E-09
1306,1.92E-08
1307,1.73E-08
1308,2.32E-08
1309,5.62E-08
1310,6.97E-08
1311,8.01E-08
1312,9.99E-08
1313,1.17E-07
1314,1.40E-07
1315,1.70E-07
1316,2.06E-07
1317,2.32E-07
1318,2.65E-07
1319,3.37E-07
1320,3.63E-07
1321,4.33E-07
1322,4.84E-07
1323,5.34E-07
1324,6.32E-07
1325,7.18E-07
1326,8.24E-07
1327,9.37E-07
1328,1.08E-06
1329,1.13E-06
1330,1.30E-06
1331,1.43E-06
1332,1.62E-06
1333,1.86E-06
1334,2.05E-06
1335,2.03E-06
1336,2.36E-06
1337,2.35E-06
1338,2.52E-06
1339,2.62E-06
1340,2.81E-06
1341,2.75E-06
1342,2.70E-06
1343,2.74E-06
1344,2.58E-06
1345,2.54E-06
1346,2.49E-06
1347,2.38E-06
1348,2.18E-06
1349,2.05E-06
1350,1.87E-06
1351,1.75E-06
1352,1.66E-06
1353,1.52E-06
1354,1.36E-06
1355,1.43E-06
1356,1.33E-06
1357,1.32E-06
1358,1.28E-06
1359,1.26E-06
1360,1.18E-06
