Current (A),Voltage (V)
-6.63332e-07,-2.0
-6.58817e-07,-1.95
-6.53199e-07,-1.9
-6.47972e-07,-1.85
-6.42263e-07,-1.8
-6.36258e-07,-1.75
-6.30163e-07,-1.7
-6.24303e-07,-1.65
-6.18975e-07,-1.6
-6.13888e-07,-1.55
-6.07806e-07,-1.5
-6.02539e-07,-1.45
-5.97317e-07,-1.4
-5.91885e-07,-1.35
-5.86862e-07,-1.3
-5.81761e-07,-1.25
-5.76275e-07,-1.2
-5.71101e-07,-1.15
-5.66525e-07,-1.1
-5.62102e-07,-1.05
-5.57124e-07,-1.0
-5.51477e-07,-0.95
-5.4641e-07,-0.9
-5.41418e-07,-0.85
-5.36561e-07,-0.8
-5.31602e-07,-0.75
-5.26136e-07,-0.7
-5.20464e-07,-0.65
-5.14869e-07,-0.6
-5.08811e-07,-0.55
-5.02692e-07,-0.5
-4.96313e-07,-0.45
-4.8938e-07,-0.4
-4.82543e-07,-0.35
-4.74945e-07,-0.3
-4.67247e-07,-0.25
-4.59115e-07,-0.2
-4.50737e-07,-0.15
-4.41911e-07,-0.1
-4.32635e-07,-0.05
-4.22687e-07,0.0
-4.11888e-07,0.05
-3.9933e-07,0.1
-3.8413e-07,0.15
-3.63947e-07,0.2
-3.34889e-07,0.25
-2.88736e-07,0.3
-2.05975e-07,0.35
-2.39398e-08,0.4
4.23528e-07,0.45
1.89818e-06,0.5
8.28137e-06,0.55
4.02796e-05,0.6
0.000184497,0.65
0.000622547,0.7
0.00150763,0.75
0.00288904,0.8
0.00475628,0.85
0.00708106,0.9
0.00983492,0.95
0.0129853,1.0
0.0165035,1.05
0.0203454,1.1
0.0244859,1.15
0.0288956,1.2
0.0299959,1.25
0.0299958,1.3
0.029996,1.35
0.029996,1.4
0.0299961,1.45
0.0299961,1.5
0.0299961,1.55
0.029996,1.6
0.029996,1.65
0.029996,1.7
0.0299958,1.75
0.0299958,1.8
0.0299957,1.85
0.0299957,1.9
0.0299959,1.95
0.0299958,2.0
