Current (A),Voltage (V)
0.0,0.00449893
5e-10,0.00292732
1e-09,0.00546117
1.5e-09,0.00660336
2e-09,0.00762165
2.5e-09,0.0121979
3e-09,0.0143327
3.5e-09,0.0136778
4e-09,0.0152075
4.5e-09,0.0183232
5e-09,0.0192135
5.5e-09,0.02041
6e-09,0.0226189
6.5e-09,0.0251733
7e-09,0.0301268
7.5e-09,0.0259835
8e-09,0.0260327
8.5e-09,0.0279787
9e-09,0.0305994
9.5e-09,0.0317359
1e-08,0.0329623
1.05e-08,0.0347799
1.1e-08,0.036133
1.15e-08,0.0382693
1.2e-08,0.0375068
1.25e-08,0.039169
1.3e-08,0.0410778
1.35e-08,0.0421234
1.4e-08,0.0444185
1.45e-08,0.0448631
1.5e-08,0.0477219
1.55e-08,0.0504327
1.6e-08,0.0485357
1.65e-08,0.05143
1.7e-08,0.0528137
1.75e-08,0.0557777
1.8e-08,0.0583409
1.85e-08,0.056846
1.9e-08,0.058199
1.95e-08,0.0620145
2e-08,0.0643767
