Current (A),Voltage (V)
1.34e-06,1.80866
1.345e-06,1.84787
1.35e-06,1.836
1.355e-06,1.88513
1.36e-06,1.91899
1.365e-06,1.89681
1.37e-06,1.90386
1.375e-06,1.91388
1.38e-06,1.93306
1.385e-06,1.92772
1.39e-06,1.94998
1.395e-06,1.93774
1.4e-06,1.90229
1.405e-06,1.99201
1.41e-06,1.92489
1.415e-06,1.92831
1.42e-06,1.94585
1.425e-06,1.95605
1.43e-06,1.94229
1.435e-06,1.97618
1.44e-06,1.97151
1.445e-06,1.96722
1.45e-06,1.94683
1.455e-06,2.0207
1.46e-06,2.01177
1.465e-06,1.92038
1.47e-06,1.99166
1.475e-06,2.02229
1.48e-06,2.04095
1.485e-06,2.01083
1.49e-06,2.00645
1.495e-06,1.97441
1.5e-06,1.98398
