Current (A),Voltage (V)
0.0,0.00288302
1e-09,0.00593504
2e-09,0.00798395
3e-09,0.0103037
4e-09,0.0185964
5e-09,0.0181809
6e-09,0.0226779
7e-09,0.0262991
8e-09,0.0273
9e-09,0.0323727
1e-08,0.034226
1.1e-08,0.0388338
1.2e-08,0.0407693
1.3e-08,0.0433329
1.4e-08,0.0490776
1.5e-08,0.0535319
1.6e-08,0.0552803
1.7e-08,0.0577108
1.8e-08,0.0638335
1.9e-08,0.0654741
2e-08,0.0684357
2.1e-08,0.0723661
2.2e-08,0.0754702
2.3e-08,0.0817239
2.4e-08,0.0817744
2.5e-08,0.0928656
2.6e-08,0.0916558
2.7e-08,0.0956377
2.8e-08,0.0959651
2.9e-08,0.096064
3e-08,0.109849
3.1e-08,0.107875
3.2e-08,0.116926
3.3e-08,0.122861
3.4e-08,0.125986
3.5e-08,0.129475
3.6e-08,0.130529
3.7e-08,0.131026
3.8e-08,0.13427
3.9e-08,0.135678
4e-08,0.140826
4.1e-08,0.144464
4.2e-08,0.144251
4.3e-08,0.152646
4.4e-08,0.155151
4.5e-08,0.154493
4.6e-08,0.1636
4.7e-08,0.165394
4.8e-08,0.168749
4.9e-08,0.17017
5e-08,0.178368
