Current (A),Voltage (V)
0.00507238,6.35
0.00510637,6.4
0.00514283,6.45
0.00517822,6.5
0.00521349,6.55
0.00524758,6.6
0.00528183,6.65
0.00531797,6.7
0.00535209,6.75
0.00538653,6.8
0.00541946,6.85
0.00545592,6.9
0.00549042,6.95
0.00552351,7.0
0.00555679,7.05
0.00559099,7.1
0.00562261,7.15
0.00565827,7.2
0.00568985,7.25
0.00572144,7.3
0.00575617,7.35
0.00578686,7.4
0.00581993,7.45
0.0058518,7.5
0.00588425,7.55
0.00591553,7.6
0.00594826,7.65
0.00598072,7.7
0.00601488,7.75
0.00604878,7.8
0.00607847,7.85
0.00611115,7.9
0.00614257,7.95
0.00617681,8.0
