Current (A),Voltage (V)
0.0257299,6.25
0.0265802,6.3
0.0274245,6.35
0.0282312,6.4
0.0291791,6.45
0.0301335,6.5
0.0310436,6.55
0.0320326,6.6
0.0330361,6.65
0.0340755,6.7
0.0352177,6.75
0.0362174,6.8
0.0373026,6.85
0.0384356,6.9
0.0396006,6.95
0.0407705,7.0
0.0419737,7.05
0.0431855,7.1
0.0444305,7.15
0.0456963,7.2
0.0469526,7.25
0.0482552,7.3
0.0495555,7.35
0.0499962,7.4
0.0499963,7.45
0.0499962,7.5
0.0499963,7.55
0.0499962,7.6
0.0499963,7.65
0.0499961,7.7
0.0499962,7.75
0.0499964,7.8
0.0499964,7.85
0.0499965,7.9
0.0499963,7.95
0.0499963,8.0
